지점코드,숙소명,객실타입,대실상태,대실금액,숙박상태,숙박금액,수집일시,체크인
3014076,홍대 아늑호텔,"레이트 체크인 - 객실 랜덤배정, 연박 예약 및 차량불가",정보없음,-,가능,"93,000원",2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,"도보특가 - 객실 랜덤배정, 연박 예약 및 차량불가",가능,"50,000원",가능,"103,000원",2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,아늑 스탠다드 - 연박 예약 및 차량불가,가능,"50,000원",가능,"123,000원",2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,요가 명상 다도,가능,"50,000원",가능,"128,000원",2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,와인러버 in 아늑,가능,"50,000원",가능,"128,000원",2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,스피커,가능,"60,000원",가능,"133,000원",2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,프리미엄 트윈,정보없음,-,가능,"133,000원",2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,TV연결 게임,가능,"60,000원",가능,"143,000원",2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,영화,가능,"100,000원",가능,"173,000원",2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,"조조할인 - 객실 랜덤배정, 연박 예약 및 차량불가",가능,"40,000원",정보없음,-,2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,빠른 입실 - 객실 랜덤 배정,정보없음,-,마감,-,2026-05-06 11:30,2026-05-06
3014076,홍대 아늑호텔,늦은 퇴실 - 객실 랜덤 배정,정보없음,-,마감,-,2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,레이트체크아웃 특가 스위트,가능,"85,000원",가능,"163,000원",2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,레이트체크아웃 디럭스더블+2인조식,정보없음,-,가능,"173,000원",2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,레이트체크아웃 특가 로얄 스위트,가능,"95,000원",가능,"180,000원",2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,레이트체크아웃 특가 스위트+2인조식,정보없음,-,가능,"183,000원",2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,스위트 패밀리,정보없음,-,가능,"198,000원",2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,레이트체크아웃 특가 로얄 스위트+2인조식,정보없음,-,가능,"200,000원",2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,파티룸,정보없음,-,가능,"320,000원",2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,레이트체크아웃 특가 스탠다드 더블,가능,"59,000원",마감,-,2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,당일특가 - 스탠다드 더블,가능,"59,000원",정보없음,-,2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,레이트체크아웃 디럭스더블,가능,"69,000원",마감,-,2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,레이트체크아웃 특가 세미스위트,불가,-,마감,-,2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,레이트체크아웃 특가 스탠다드 더블+2인조식,정보없음,-,마감,-,2026-05-06 11:30,2026-05-06
25589,홍대 더 디자이너스,레이트체크아웃 특가 세미스위트+2인조식,정보없음,-,마감,-,2026-05-06 11:30,2026-05-06
3010583,홍대 나인브릭 호텔,슈페리어 더블,불가,-,가능,"180,000원",2026-05-06 11:30,2026-05-06
3010583,홍대 나인브릭 호텔,디럭스 더블,가능,"70,000원",가능,"200,000원",2026-05-06 11:30,2026-05-06
3010583,홍대 나인브릭 호텔,프리미엄 디럭스 더블,정보없음,-,가능,"220,000원",2026-05-06 11:30,2026-05-06
3010583,홍대 나인브릭 호텔,주니어 펜트하우스,정보없음,-,마감,-,2026-05-06 11:30,2026-05-06
3010583,홍대 나인브릭 호텔,펜트하우스,정보없음,-,마감,-,2026-05-06 11:30,2026-05-06
3017304,홍대 보보호텔,-,파싱실패,-,파싱실패,-,2026-05-06 11:30,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,컬렉션 D 룸온리,가능,"45,000원",가능,"130,000원",2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,컬렉션 T 룸온리,정보없음,-,가능,"130,000원",2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,컬렉션 D 1인조식 포함,정보없음,-,가능,"145,000원",2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,컬렉션 T 1인조식 포함,정보없음,-,가능,"145,000원",2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,컬렉션 D2 룸온리,정보없음,-,가능,"190,000원",2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,컬렉션 D2 1인 조식포함,정보없음,-,가능,"205,000원",2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,Museum 룸온리,정보없음,-,가능,"320,000원",2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,Museum 조식포함,정보없음,-,가능,"350,000원",2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,무한대실,가능,"85,000원",정보없음,-,2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,컬렉션 S 룸온리,정보없음,-,가능,"110,000원",2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,컬렉션 S 1인조식 포함,정보없음,-,가능,"125,000원",2026-05-06 11:31,2026-05-06
10054224,이태원 누베르서울 호텔 by 아늑,당일예약 특가,정보없음,-,마감,-,2026-05-06 11:31,2026-05-06
3006882,이태원 에이원 호텔,스탠다드,가능,"36,200원",가능,"93,200원",2026-05-06 11:31,2026-05-06
3006882,이태원 에이원 호텔,디럭스,가능,"68,200원",가능,"168,200원",2026-05-06 11:31,2026-05-06
3006882,이태원 에이원 호텔,스탠다드 긴시간,가능,"70,000원",가능,"178,200원",2026-05-06 11:31,2026-05-06
3006882,이태원 에이원 호텔,디럭스 긴시간,가능,"120,000원",가능,"248,200원",2026-05-06 11:31,2026-05-06
3000655,해밀톤 호텔,디럭스 트윈,정보없음,-,가능,"195,000원",2026-05-06 11:31,2026-05-06
3000655,해밀톤 호텔,스탠다드 트윈,정보없음,-,마감,-,2026-05-06 11:31,2026-05-06
3001110,임피리얼 팰리스 부티크 호텔 이태원,슈페리어 트윈,정보없음,-,가능,"204,000원",2026-05-06 11:31,2026-05-06
3001110,임피리얼 팰리스 부티크 호텔 이태원,슈페리어 더블,정보없음,-,가능,"204,000원",2026-05-06 11:31,2026-05-06
3001110,임피리얼 팰리스 부티크 호텔 이태원,디럭스 트윈,정보없음,-,가능,"225,000원",2026-05-06 11:31,2026-05-06
3001110,임피리얼 팰리스 부티크 호텔 이태원,디럭스 쿼드러플,정보없음,-,가능,"244,900원",2026-05-06 11:31,2026-05-06
3001110,임피리얼 팰리스 부티크 호텔 이태원,듀플렉스 스위트,정보없음,-,마감,-,2026-05-06 11:31,2026-05-06
3001110,임피리얼 팰리스 부티크 호텔 이태원,골드 스위트,정보없음,-,마감,-,2026-05-06 11:31,2026-05-06
3001110,임피리얼 팰리스 부티크 호텔 이태원,주니어 스위트,정보없음,-,마감,-,2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,디럭스 커플 - 1060pc,가능,"30,000원",가능,"47,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,스탠다드 뮤직,가능,"28,000원",가능,"53,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,디럭스 홈트레이닝,가능,"30,000원",가능,"53,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,디럭스 힐링,불가,-,가능,"53,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,플레이 스위트,가능,"35,000원",가능,"63,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,트윈,가능,"35,000원",가능,"63,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,디럭스 커플 - 2060pc,불가,-,가능,"63,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,무비 스위트,가능,"31,500원",가능,"73,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,늦은퇴실,불가,-,가능,"73,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,싱 스위트,불가,-,가능,"83,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,파티 스위트,불가,-,가능,"101,000원",2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,무한대실,가능,"50,000원",마감,-,2026-05-06 11:31,2026-05-06
1002097,구리 더휴식 크로와상 호텔,빠른입실,불가,-,마감,-,2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,EVENT ROOM 도보전용,가능,"20,000원",가능,"30,000원",2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,Standard,가능,"25,000원",가능,"40,000원",2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,Deluxe 스타일러,가능,"30,000원",가능,"45,000원",2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,Premium 커플PC,가능,"35,000원",가능,"50,000원",2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,Standard 풀타임 - 얼리 체크인,정보없음,-,가능,"50,000원",2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,펫룸 Pet ROOM 1층,가능,"30,000원",가능,"60,000원",2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,Premium 커플PC 풀타임 - 얼리 체크인,정보없음,-,가능,"60,000원",2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,Standard 풀타임,정보없음,-,가능,"60,000원",2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,Premium 커플PC 풀타임,정보없음,-,가능,"80,000원",2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,Standard 롱롱대실,가능,"35,000원",정보없음,-,2026-05-06 11:31,2026-05-06
1000111651,구리 바리스타 호텔,Premium 롱롱대실,가능,"45,000원",정보없음,-,2026-05-06 11:31,2026-05-06
24150,구리 러쉬(LUSH),Standard - 도보전용,불가,-,가능,"30,000원",2026-05-06 11:31,2026-05-06
24150,구리 러쉬(LUSH),"Premium - 지하,도보손님전용",불가,-,가능,"33,000원",2026-05-06 11:31,2026-05-06
24150,구리 러쉬(LUSH),Suite - 도보전용,가능,"25,000원",가능,"35,000원",2026-05-06 11:31,2026-05-06
24150,구리 러쉬(LUSH),Suite,가능,"28,000원",가능,"38,000원",2026-05-06 11:31,2026-05-06
24150,구리 러쉬(LUSH),스위트 트윈,정보없음,-,가능,"50,000원",2026-05-06 11:31,2026-05-06
24150,구리 러쉬(LUSH),VIP,불가,-,가능,"55,000원",2026-05-06 11:31,2026-05-06
24150,구리 러쉬(LUSH),Standard,정보없음,-,마감,-,2026-05-06 11:31,2026-05-06
24150,구리 러쉬(LUSH),Premium - 지하,불가,-,마감,-,2026-05-06 11:31,2026-05-06
24150,구리 러쉬(LUSH),VIP - 트윈,불가,-,마감,-,2026-05-06 11:31,2026-05-06
24150,구리 러쉬(LUSH),야간대실 스위트룸,불가,-,정보없음,-,2026-05-06 11:31,2026-05-06
26958,구리 크림 호텔,Standard-mini,가능,"19,000원",가능,"33,000원",2026-05-06 11:31,2026-05-06
26958,구리 크림 호텔,도보특가-Basic배정,가능,"20,000원",가능,"35,000원",2026-05-06 11:31,2026-05-06
26958,구리 크림 호텔,OTT-mini,가능,"25,000원",가능,"40,000원",2026-05-06 11:31,2026-05-06
26958,구리 크림 호텔,Basic-주차가능,가능,"28,000원",가능,"44,000원",2026-05-06 11:31,2026-05-06
26958,구리 크림 호텔,빠른숙박-연박가능,정보없음,-,가능,"51,000원",2026-05-06 11:31,2026-05-06
26958,구리 크림 호텔,스위트-의류청정기,가능,"42,000원",가능,"64,000원",2026-05-06 11:31,2026-05-06
26958,구리 크림 호텔,커플PC룸-RTX3060,가능,"42,000원",가능,"64,000원",2026-05-06 11:31,2026-05-06
26958,구리 크림 호텔,무한대실-도보전용,가능,"33,000원",정보없음,-,2026-05-06 11:31,2026-05-06
26958,구리 크림 호텔,Premier,불가,-,마감,-,2026-05-06 11:31,2026-05-06
26958,구리 크림 호텔,Standard-mini,불가,-,마감,-,2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,도보특가,가능,"17,000원",가능,"35,000원",2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,플레이,가능,"32,000원",가능,"53,000원",2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,2PC,가능,"32,000원",가능,"53,000원",2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,무비,가능,"32,000원",가능,"60,000원",2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,딥 슬립,가능,"37,000원",가능,"65,000원",2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,스탠다드,가능,"22,000원",마감,-,2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,와인,가능,"27,000원",마감,-,2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,카툰,가능,"27,000원",마감,-,2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,무한대실- 객실 랜덤 배정,불가,-,정보없음,-,2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,골프,불가,-,마감,-,2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,뮤직,불가,-,마감,-,2026-05-06 11:31,2026-05-06
10047317,구리 아늑호텔,싱글 비즈니스,정보없음,-,마감,-,2026-05-06 11:31,2026-05-06
1002072,구리 캘리포니아 호텔,도보특가,가능,"19,000원",가능,"35,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,스탠다드,가능,"22,000원",가능,"40,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,디럭스-테라스,불가,-,가능,"45,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,디럭스 - 릴렉스,가능,"27,000원",가능,"50,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,스위트 게이밍,가능,"27,000원",가능,"55,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,스위트 뷰- 테라스,가능,"27,000원",가능,"55,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,스위트 킹- 테라스,가능,"27,000원",가능,"55,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,스탠다드 - 빠른입실,정보없음,-,가능,"60,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,VIP 트윈 테라스,가능,"28,500원",마감,-,2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,디럭스 - 테라스 빠른입실,정보없음,-,가능,"65,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,디럭스-릴렉스 빠른입실,정보없음,-,가능,"70,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,스위트 뷰 - 테라스 빠른입실,정보없음,-,가능,"75,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,스위트 킹 - 테라스 빠른입실,정보없음,-,가능,"75,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,VIP 트윈 테라스 빠른입실,정보없음,-,가능,"85,000원",2026-05-06 11:32,2026-05-06
1002072,구리 캘리포니아 호텔,야간 대실,불가,-,정보없음,-,2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),도보전용,가능,"22,000원",가능,"37,000원",2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),Standard,가능,"22,000원",가능,"42,000원",2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),Premium Gaming,가능,"27,000원",가능,"52,000원",2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),Deluxe TW,가능,"27,000원",가능,"52,000원",2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),Deluxe DB,불가,-,가능,"52,000원",2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),빠른입실,정보없음,-,가능,"57,000원",2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),Suit,가능,"31,500원",가능,"62,000원",2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),VIP Suit,가능,"31,500원",마감,-,2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),Royal Suit,가능,"36,000원",가능,"80,000원",2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),2 Bed Royal Suit,가능,"36,000원",마감,-,2026-05-06 11:32,2026-05-06
3010096,구리 호텔 月 (월),Standard-M,불가,-,마감,-,2026-05-06 11:32,2026-05-06
3000355,구리 YAM 구리수택점,도보전용/스탠다드 - 일부 금연객실 운영,가능,"30,000원",가능,"33,000원",2026-05-06 11:32,2026-05-06
3000355,구리 YAM 구리수택점,스탠다드- 일부 금연객실 운영,가능,"33,000원",가능,"38,000원",2026-05-06 11:32,2026-05-06
3000355,구리 YAM 구리수택점,최고얌 커플pc,가능,"35,000원",가능,"45,000원",2026-05-06 11:32,2026-05-06
3000355,구리 YAM 구리수택점,시네마존 -최강커플 PC,가능,"35,000원",가능,"50,000원",2026-05-06 11:32,2026-05-06
3000355,구리 YAM 구리수택점,트윈얌 - 최강커플PC,가능,"35,000원",가능,"55,000원",2026-05-06 11:32,2026-05-06
3000355,구리 YAM 구리수택점,야간대실,가능,"25,000원",정보없음,-,2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,"도보특가 - 객실랜덤배정, 연박예약 및 차량 불가",가능,"19,900원",가능,"44,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,스탠다드 - 객실랜덤배정,가능,"29,000원",가능,"54,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,거울,가능,"35,000원",가능,"57,600원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,기프티콘 패키지-비즈니스,정보없음,-,가능,"60,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,2PC,가능,"35,000원",가능,"62,100원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,스피커,가능,"35,000원",가능,"64,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,요가,가능,"35,000원",가능,"64,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,노르딕룸,가능,"35,000원",가능,"64,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,비즈니스+스타일룸,가능,"35,000원",가능,"64,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,Early Check in,정보없음,-,가능,"69,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,Late Check out,정보없음,-,가능,"69,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,스위트,가능,"40,000원",가능,"70,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,반려견동반,가능,"40,000원",가능,"70,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,기프티콘 패키지-커플,정보없음,-,가능,"70,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,트윈,불가,-,가능,"70,000원",2026-05-06 11:32,2026-05-06
1000110964,오산 고요37 호텔 by 아늑,Infinity Dayuse,가능,"40,000원",정보없음,-,2026-05-06 11:32,2026-05-06
10062453,오산 그린파크,일반실,가능,"17,000원",마감,-,2026-05-06 11:32,2026-05-06
10062453,오산 그린파크,트윈,가능,"20,000원",마감,-,2026-05-06 11:32,2026-05-06
10062453,오산 그린파크,미니트윈,불가,-,마감,-,2026-05-06 11:32,2026-05-06
10062453,오산 그린파크,온돌룸,정보없음,-,마감,-,2026-05-06 11:32,2026-05-06
10062453,오산 그린파크,MOVIE 특실,정보없음,-,마감,-,2026-05-06 11:32,2026-05-06
1000111803,오산 M,일반실,정보없음,-,가능,"42,000원",2026-05-06 11:32,2026-05-06
1000111803,오산 M,특실,정보없음,-,가능,"47,000원",2026-05-06 11:32,2026-05-06
1000111803,오산 M,특실 2PC,정보없음,-,가능,"52,000원",2026-05-06 11:32,2026-05-06
1000111803,오산 M,VIP 2pc twin,정보없음,-,가능,"57,000원",2026-05-06 11:32,2026-05-06
3008269,오산 YAM 오산역점,스탠다드 미니,가능,"18,000원",가능,"34,200원",2026-05-06 11:32,2026-05-06
3008269,오산 YAM 오산역점,스탠다드,가능,"20,000원",가능,"36,000원",2026-05-06 11:32,2026-05-06
3008269,오산 YAM 오산역점,디럭스,가능,"23,000원",가능,"40,500원",2026-05-06 11:32,2026-05-06
3008269,오산 YAM 오산역점,디럭스,정보없음,-,가능,"54,000원",2026-05-06 11:32,2026-05-06
3008269,오산 YAM 오산역점,스위트,불가,-,가능,"91,000원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,도보특가,가능,"17,000원",가능,"40,000원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,스피커,가능,"22,000원",가능,"53,500원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,기프티콘 패키지-비즈니스,정보없음,-,가능,"55,000원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,2PC디럭스,가능,"27,000원",가능,"58,000원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,2PC스탠다드,가능,"22,000원",가능,"60,000원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,기프티콘 패키지-커플,정보없음,-,가능,"65,000원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,레이트체크아웃,정보없음,-,가능,"65,000원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,얼리체크인,정보없음,-,가능,"65,000원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,트윈,불가,-,가능,"65,000원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,영화,가능,"37,000원",가능,"75,000원",2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,무한대실 도보전용,가능,"35,000원",정보없음,-,2026-05-06 11:32,2026-05-06
26034,오산 아늑호텔,무한대실 차량전용,가능,"42,000원",정보없음,-,2026-05-06 11:32,2026-05-06
3011975,오산 CHILL7,특가룸,가능,"18,000원",가능,"33,000원",2026-05-06 11:32,2026-05-06
3011975,오산 CHILL7,금연룸 스탠다드,가능,"22,000원",가능,"45,000원",2026-05-06 11:32,2026-05-06
3011975,오산 CHILL7,흡연룸 스탠다드,가능,"25,000원",가능,"50,000원",2026-05-06 11:32,2026-05-06
3011975,오산 CHILL7,금연룸 디럭스,가능,"25,000원",가능,"55,000원",2026-05-06 11:32,2026-05-06
3011975,오산 CHILL7,잠꾸러기룸- 랜덤배정,정보없음,-,가능,"55,000원",2026-05-06 11:32,2026-05-06
3011975,오산 CHILL7,금연룸 비즈니스 트윈,정보없음,-,가능,"60,000원",2026-05-06 11:32,2026-05-06
1000102619,오산 제이 호텔,스탠다드,가능,"20,000원",가능,"40,000원",2026-05-06 11:33,2026-05-06
1000102619,오산 제이 호텔,디럭스,가능,"25,000원",가능,"45,000원",2026-05-06 11:33,2026-05-06
1000102619,오산 제이 호텔,스위트,가능,"30,000원",가능,"55,000원",2026-05-06 11:33,2026-05-06
1000102619,오산 제이 호텔,디럭스 안마의자,가능,"30,000원",가능,"60,000원",2026-05-06 11:33,2026-05-06
1000102619,오산 제이 호텔,스탠다드 2PC,가능,"30,000원",가능,"60,000원",2026-05-06 11:33,2026-05-06
1000102619,오산 제이 호텔,디럭스 트윈,불가,-,가능,"60,000원",2026-05-06 11:33,2026-05-06
1000102619,오산 제이 호텔,프리미엄 트윈,불가,-,가능,"65,000원",2026-05-06 11:33,2026-05-06
3016190,오산 아너스 호텔,일반실 A,가능,"20,000원",가능,"50,000원",2026-05-06 11:33,2026-05-06
3016190,오산 아너스 호텔,일반실B,정보없음,-,가능,"55,000원",2026-05-06 11:33,2026-05-06
3016190,오산 아너스 호텔,특실 A,가능,"25,000원",가능,"65,000원",2026-05-06 11:33,2026-05-06
3016190,오산 아너스 호텔,특실 B,정보없음,-,가능,"65,000원",2026-05-06 11:33,2026-05-06
3016190,오산 아너스 호텔,VIP 트윈,정보없음,-,가능,"80,000원",2026-05-06 11:33,2026-05-06
3016190,오산 아너스 호텔,VIP,정보없음,-,가능,"80,000원",2026-05-06 11:33,2026-05-06
3016190,오산 아너스 호텔,로얄 스위트,정보없음,-,가능,"500,000원",2026-05-06 11:33,2026-05-06
3016190,오산 아너스 호텔,도보특가 - 특실,가능,"65,000원",정보없음,-,2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,오픈특가,가능,"17,000원",가능,"30,000원",2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,스탠다드,가능,"22,000원",가능,"35,000원",2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,뮤직,가능,"27,000원",가능,"40,000원",2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,웰니스,가능,"32,000원",가능,"45,000원",2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,무비,가능,"32,000원",가능,"50,000원",2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,2PC,가능,"32,000원",가능,"50,000원",2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,레이트 체크아웃,정보없음,-,가능,"50,000원",2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,얼리 체크인,정보없음,-,가능,"50,000원",2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,트윈,가능,"37,000원",가능,"65,000원",2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,스파,가능,"47,000원",가능,"85,000원",2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,무한대실,가능,"37,000원",정보없음,-,2026-05-06 11:33,2026-05-06
3010914,월곶 아늑호텔,야간대실,불가,-,정보없음,-,2026-05-06 11:33,2026-05-06
3001905,월곶 크루즈,도보특가,가능,"19,000원",가능,"28,000원",2026-05-06 11:33,2026-05-06
3001905,월곶 크루즈,"일반실A,B",가능,"19,000원",가능,"28,000원",2026-05-06 11:33,2026-05-06
3001905,월곶 크루즈,준특실,가능,"20,000원",가능,"33,000원",2026-05-06 11:33,2026-05-06
3001905,월곶 크루즈,특실,가능,"25,000원",가능,"40,000원",2026-05-06 11:33,2026-05-06
3001905,월곶 크루즈,특실,가능,"25,000원",가능,"40,000원",2026-05-06 11:33,2026-05-06
3001905,월곶 크루즈,무한숙박룸,정보없음,-,가능,"45,000원",2026-05-06 11:33,2026-05-06
3001905,월곶 크루즈,무한대실룸,가능,"25,000원",정보없음,-,2026-05-06 11:33,2026-05-06
3001905,월곶 크루즈,특실,가능,"25,000원",마감,-,2026-05-06 11:33,2026-05-06
3001905,월곶 크루즈,특실,불가,-,마감,-,2026-05-06 11:33,2026-05-06
1018966,월곶 발렌타인 호텔,도보특가,정보없음,-,가능,"25,000원",2026-05-06 11:33,2026-05-06
1018966,월곶 발렌타인 호텔,오픈 특가,가능,"16,800원",가능,"26,000원",2026-05-06 11:33,2026-05-06
